ProductID,Description,Size,Volume,Classification
58,Gekkeikan Black & Gold Sake,750mL,750.0,1
60,Canadian Club 1858 VAP,750mL,750.0,1
62,Herradura Silver Tequila,750mL,750.0,1
63,Herradura Reposado Tequila,750mL,750.0,1
72,No. 3 London Dry Gin,750mL,750.0,1
75,Three Olives Tomato Vodka,750mL,750.0,1
77,Three Olives Espresso Vodka,750mL,750.0,1
79,Three Olives Loopy Vodka,750mL,750.0,1
115,Belvedere Vodka,Liter,1000.0,1
120,Tarantula Azul Tequila Gift,750mL,750.0,1
126,Grey Goose Vodka,Liter,1000.0,1
165,Gentleman Jack Gift Pack,750mL,750.0,1
171,Gentleman Jack,1.75L,1750.0,1
175,1800 Anejo Tequila,750mL,750.0,1
178,Wild Turkey Russell's RSV,750mL,750.0,1
192,Milagro Anejo Tequila,750mL,750.0,1
211,Cold River Gin,750mL,750.0,1
233,Tullamore Dew 12 Yr Old,750mL,750.0,1
247,Gran Patron Platinum Tequil,750mL,750.0,1
254,DeKuyper Root Beer Schnapps,Liter,1000.0,1
261,Svedka Citron Vodka,Liter,1000.0,1
273,Sauza Extra Gold Tequila,1.75L,1750.0,1
281,Kamora Coffee Gift Pack,750mL,750.0,1
283,Milagro Tequila Reposado SBR,750mL,750.0,1
284,Milagro Tequila Anejo SBR,750mL,750.0,1
294,Old Mexico Gold Tequila,Liter,1000.0,1
305,Crown Royal Canadian Whisky,Liter,1000.0,1
311,The Glenlivet 12 Yr Gift Pk,750mL,750.0,1
323,Tequila Rose Strawberry Gift,750mL,750.0,1
344,Punt e Mes Sweet Vermouth,750mL,750.0,1
356,Carolans Irish Cr Gift Set,750mL,750.0,1
361,Effen Cucumber Vodka,750mL,750.0,1
366,Crown Royal w/2 Glasses,750mL,750.0,1
376,Aperol Liqueur,750mL,750.0,1
381,Baileys Irish Cream w/4 Glss,750mL,750.0,1
384,Ardbeg Corryvreckan Scotch,750mL,750.0,1
388,Smirnoff 80 Proof,Liter,1000.0,1
403,Kahlua Midnight,Liter,1000.0,1
408,Wild Turkey American Honey,750mL,750.0,1
415,Jose Cuervo Especial,Liter,1000.0,1
419,Absolut Citron,Liter,1000.0,1
425,Hennessy Paradis,750mL,750.0,1
426,Crystal Head Vodka,50mL,50.0,1
